date,crop,market,district,state,minimum_price,maximum_price,modal_price,arrival_quantity
2026-08-01,Tomato,Bowenpally,Hyderabad,Telangana,1800,2600,2200,120
2026-08-02,Tomato,Bowenpally,Hyderabad,Telangana,1850,2650,2250,115
2026-08-03,Tomato,Bowenpally,Hyderabad,Telangana,1900,2700,2300,110
2026-08-04,Tomato,Bowenpally,Hyderabad,Telangana,1880,2680,2280,125
2026-08-05,Tomato,Bowenpally,Hyderabad,Telangana,1950,2750,2350,105
2026-08-06,Tomato,Bowenpally,Hyderabad,Telangana,2000,2800,2400,100
2026-08-07,Tomato,Bowenpally,Hyderabad,Telangana,2050,2850,2450,95
2026-08-08,Tomato,Bowenpally,Hyderabad,Telangana,2100,2900,2500,90
2026-08-09,Tomato,Bowenpally,Hyderabad,Telangana,2080,2880,2480,98
2026-08-10,Tomato,Bowenpally,Hyderabad,Telangana,2150,2950,2550,85
2026-08-11,Tomato,Bowenpally,Hyderabad,Telangana,2200,3000,2600,80
2026-08-12,Tomato,Bowenpally,Hyderabad,Telangana,2180,2980,2580,88
2026-08-13,Tomato,Bowenpally,Hyderabad,Telangana,2250,3050,2650,75
2026-08-14,Tomato,Bowenpally,Hyderabad,Telangana,2300,3100,2700,70
2026-08-15,Tomato,Bowenpally,Hyderabad,Telangana,2280,3080,2680,78
2026-08-16,Tomato,Bowenpally,Hyderabad,Telangana,2350,3150,2750,68
2026-08-17,Tomato,Bowenpally,Hyderabad,Telangana,2400,3200,2800,65
2026-08-18,Tomato,Bowenpally,Hyderabad,Telangana,2380,3180,2780,72
2026-08-19,Tomato,Bowenpally,Hyderabad,Telangana,2450,3250,2850,60
2026-08-20,Tomato,Bowenpally,Hyderabad,Telangana,2500,3300,2900,58
